minutes_watched,CLV,region_0,region_1,region_2,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8
5018,184,1,0,0,1,0,0,0,0,0,0,0
827,184,0,0,1,0,0,0,0,0,0,1,0
10796,64,0,0,1,1,0,0,0,0,0,0,0
1277,149,0,0,1,0,0,1,0,0,0,0,0
3076,182,1,0,0,0,0,0,1,0,0,0,0
8158,174,0,0,1,0,0,1,0,0,0,0,0
530,34,0,0,1,0,0,0,0,0,0,1,0
761,174,1,0,0,0,0,1,0,0,0,0,0
504,184,1,0,0,0,0,1,0,0,0,0,0
692,144,0,1,0,0,0,0,0,0,1,0,0
429,142,0,1,0,0,0,0,0,0,0,0,1
2377,65,0,0,1,0,0,0,0,1,0,0,0
7800,209,0,1,0,0,0,1,0,0,0,0,0
577,62,0,0,1,0,0,0,1,0,0,0,0
372,178,0,1,0,0,0,0,0,0,0,1,0
402,122,0,1,0,1,0,0,0,0,0,0,0
697,174,1,0,0,0,0,1,0,0,0,0,0
2383,168,0,0,1,0,0,1,0,0,0,0,0
277,36,1,0,0,0,0,1,0,0,0,0,0
588,285,0,1,0,0,0,0,1,0,0,0,0
742,86,0,0,1,0,0,0,1,0,0,0,0
17266,184,0,1,0,0,0,0,0,0,1,0,0
2303,174,1,0,0,1,0,0,0,0,0,0,0
11916,64,1,0,0,1,0,0,0,0,0,0,0
2659,155,0,0,1,0,0,0,0,0,0,1,0
499,36,0,0,1,0,0,0,1,0,0,0,0
18983,209,0,1,0,0,0,0,0,0,1,0,0
1373,61,0,0,1,0,0,1,0,0,0,0,0
15877,59,1,0,0,0,0,1,0,0,0,0,0
1904,62,0,0,1,1,0,0,0,0,0,0,0
1322,86,0,0,1,1,0,0,0,0,0,0,0
45,174,1,0,0,0,1,0,0,0,0,0,0
714,177,0,1,0,0,0,1,0,0,0,0,0
1804,149,0,0,1,1,0,0,0,0,0,0,0
3216,93,0,0,1,1,0,0,0,0,0,0,0
144,143,0,0,1,1,0,0,0,0,0,0,0
1383,243,0,1,0,0,1,0,0,0,0,0,0
47,212,0,1,0,1,0,0,0,0,0,0,0
289,118,1,0,0,0,1,0,0,0,0,0,0
2238,128,0,1,0,0,0,1,0,0,0,0,0
457,149,0,0,1,0,0,1,0,0,0,0,0
1995,62,0,0,1,0,0,0,0,0,0,0,1
27636,136,0,1,0,1,0,0,0,0,0,0,0
58,36,0,0,1,1,0,0,0,0,0,0,0
13482,64,0,0,1,0,0,1,0,0,0,0,0
89,149,0,0,1,0,0,1,0,0,0,0,0
468,149,0,0,1,0,0,1,0,0,0,0,0
143,178,0,1,0,0,0,1,0,0,0,0,0
3570,209,0,1,0,1,0,0,0,0,0,0,0
497,174,1,0,0,0,1,0,0,0,0,0,0
0,4,0,0,1,0,0,1,0,0,0,0,0
800,62,0,0,1,0,0,0,0,1,0,0,0
500,149,1,0,0,1,0,0,0,0,0,0,0
291,149,0,0,1,0,0,1,0,0,0,0,0
426,174,1,0,0,0,0,1,0,0,0,0,0
147,174,0,0,1,1,0,0,0,0,0,0,0
967,36,1,0,0,0,0,1,0,0,0,0,0
732,215,0,0,1,0,0,0,0,0,0,1,0
383,180,0,1,0,1,0,0,0,0,0,0,0
124,347,1,0,0,0,0,1,0,0,0,0,0
814,149,1,0,0,0,0,0,0,0,0,1,0
7567,347,1,0,0,0,0,0,0,0,0,0,1
1,49,1,0,0,0,0,0,0,0,0,0,1
158,27,0,0,1,1,0,0,0,0,0,0,0
3626,160,1,0,0,0,0,1,0,0,0,0,0
7585,118,0,0,1,0,0,0,0,0,1,0,0
0,149,0,1,0,0,0,0,0,0,0,1,0
74,184,1,0,0,0,0,1,0,0,0,0,0
1745,216,1,0,0,0,0,0,0,0,1,0,0
9094,184,0,1,0,0,0,0,0,0,1,0,0
843,36,0,0,1,0,0,0,0,0,0,1,0
255,149,1,0,0,0,0,1,0,0,0,0,0
4588,174,0,0,1,0,0,0,0,0,0,1,0
4307,174,0,0,1,0,0,1,0,0,0,0,0
655,149,0,0,1,0,0,0,0,0,1,0,0
935,118,1,0,0,0,0,0,1,0,0,0,0
2408,149,1,0,0,1,0,0,0,0,0,0,0
317,118,0,0,1,0,0,1,0,0,0,0,0
927,149,1,0,0,0,0,1,0,0,0,0,0
79,149,1,0,0,0,1,0,0,0,0,0,0
2250,149,1,0,0,0,1,0,0,0,0,0,0
7,62,0,0,1,1,0,0,0,0,0,0,0
10865,0,0,0,1,0,0,1,0,0,0,0,0
1398,36,0,0,1,0,0,0,1,0,0,0,0
994,62,0,0,1,0,0,1,0,0,0,0,0
3177,146,0,0,1,0,0,0,0,0,1,0,0
261,149,1,0,0,0,0,1,0,0,0,0,0
234,149,0,1,0,1,0,0,0,0,0,0,0
1315,149,1,0,0,0,0,0,0,0,0,0,1
393,149,1,0,0,0,0,1,0,0,0,0,0
840,149,1,0,0,0,0,0,0,0,1,0,0
804,178,0,1,0,0,0,0,0,0,0,0,1
2542,119,1,0,0,0,0,1,0,0,0,0,0
0,149,0,0,1,1,0,0,0,0,0,0,0
282,138,1,0,0,0,0,1,0,0,0,0,0
2897,179,0,0,1,1,0,0,0,0,0,0,0
512,150,1,0,0,0,0,0,0,0,1,0,0
1506,97,1,0,0,1,0,0,0,0,0,0,0
278,269,1,0,0,1,0,0,0,0,0,0,0
961,36,0,0,1,1,0,0,0,0,0,0,0
218,36,0,0,1,1,0,0,0,0,0,0,0
32,150,1,0,0,0,0,0,0,0,0,1,0
1303,149,0,0,1,1,0,0,0,0,0,0,0
350,149,1,0,0,0,0,0,0,0,0,1,0
1041,180,0,1,0,1,0,0,0,0,0,0,0
19092,149,0,0,1,0,0,0,0,0,0,0,1
32,149,0,0,1,0,0,0,0,0,0,1,0
18778,149,0,0,1,0,1,0,0,0,0,0,0
407,149,0,0,1,0,0,1,0,0,0,0,0
325,152,1,0,0,1,0,0,0,0,0,0,0
178,149,1,0,0,0,0,1,0,0,0,0,0
368,149,1,0,0,0,0,1,0,0,0,0,0
92,36,0,0,1,0,0,0,0,0,1,0,0
21,181,0,1,0,0,0,0,0,0,1,0,0
1213,57,0,1,0,0,0,1,0,0,0,0,0
296,36,0,0,1,0,0,1,0,0,0,0,0
0,36,1,0,0,0,0,1,0,0,0,0,0
3240,146,0,0,1,0,0,1,0,0,0,0,0
199,149,1,0,0,1,0,0,0,0,0,0,0
137,149,1,0,0,0,0,0,0,0,1,0,0
0,149,1,0,0,1,0,0,0,0,0,0,0
293,62,0,0,1,0,0,0,1,0,0,0,0
143,149,1,0,0,0,0,1,0,0,0,0,0
187,62,0,0,1,0,0,1,0,0,0,0,0
2104,148,0,1,0,1,0,0,0,0,0,0,0
86,150,1,0,0,0,0,1,0,0,0,0,0
1488,180,0,1,0,0,0,1,0,0,0,0,0
3888,205,1,0,0,0,0,1,0,0,0,0,0
457,220,0,0,1,0,1,0,0,0,0,0,0
0,149,1,0,0,0,0,0,0,0,0,0,1
362,119,1,0,0,0,0,0,1,0,0,0,0
6463,149,1,0,0,0,0,0,0,0,0,1,0
83,149,0,0,1,0,0,1,0,0,0,0,0
5846,70,0,0,1,0,0,1,0,0,0,0,0
52,149,1,0,0,0,1,0,0,0,0,0,0
516,149,0,0,1,0,0,1,0,0,0,0,0
1900,179,0,1,0,0,0,1,0,0,0,0,0
1240,150,1,0,0,0,0,1,0,0,0,0,0
3395,149,1,0,0,1,0,0,0,0,0,0,0
2969,149,0,0,1,0,0,0,1,0,0,0,0
907,180,0,1,0,0,0,0,0,0,0,0,1
4600,238,1,0,0,0,0,0,0,0,1,0,0
518,149,1,0,0,0,0,1,0,0,0,0,0
